source	association type	target	source
ROOT	SENDS SIGNAL	ABSCISIC ACID-DEPENDENT SIGNAL	18952782
ROOT	FORAGES	CHEMICALLY	19021888
ROOT	ENLARGES DUE TO	TERTIARY STRUCTURE	19200150
ROOT	DISPLAYS	TRITERPENOID SAPONIN	19200150
ROOT	DELIVERS	CD	19309445
NOD3 MUTANT	FUNCTIONS PRE-NARK IN	ROOT	19403196
PLASMA MEMBRANE AQUAPORIN	LOCALIZES TO	ROOT	19437122
ROOT	EXPERIENCES	DORMANCY	19496944
ROOT	AFFECTS	N UTILIZATION EFFICIENCY	19558408
ROOT	REPRESSES	SHOOT GROWTH	19566647
CESA1-10	IS EXPRESSED IN	ROOT	19619157
XTH1-33	IS EXPRESSED IN	ROOT	19619157
ROOT	DISPLAYS	TWO LIVE POOLS	19694965
ROOT	DISPLAYS	TWO DEAD POOLS	19694965
ROOT	DISPLAYS	NON-NORMAL TURNOVER TIMES	19694965
ROOT	DISPLAYS	CARBON	19694965
ROOT	DISPLAYS	SEASONAL GROWTH AND RESPIRATION PATTERNS	19694965
ROOT	DISPLAYS	SHORT-LIVED POOL WITH < 1 YR TURNOVER TIME	19694965
ROOT	DISPLAYS	LONG-LIVED POOL WITH 10 YR TURNOVER TIME	19694965
ROOT	DISPLAYS	DECOMPOSITION TURNOVER TIME OF 2 YR	19694965
ROOT	UTILIZES	LOWER AMOUNT OF BELOWGROUND NET PRIMARY PRODUCTION THAN PREDICTED BY MODELS WITH SINGLE ANNUAL TURNOVER POOL	19694965
ROOT	INTERACTS WITH	PGPRS	19704655
ROOT	MAINTAINS	BACTERIAL GROWTH	19704655
ROOT	AFFECTS	BIOFILM FORMATION	19704655
ROOT	RESPONDS TO	H. GLYCINES	19704723
ROOT	GROWS IN	GEL MATRIX	19709387
ROOT	CAUSES	HYDRAULIC REDISTRIBUTION	19754638
ART1	IS EXPRESSED IN	ROOT	19880795
ROOT	MAINTAINS ELONGATION RATE TOWARDS	APEX	19895398
ROOT	CLUMPS INTO	PORES	19895403
ROOT	CONTACTS	SOIL VIA ROOT HAIRS	19895403
ROOT	APPRESSES TO	SOIL SURFACE	19895403
ROOT	INDUCES ARREST OF	WILD-TYPE SHOOT	20074142
ROOT	ALLOWS	SURVIVAL	20085620
ROOT	ACCUMULATES	CD	20172965
ROOT	TRANSLOCATES TO	XYLEM	20172965
NRAMP1	IS EXPRESSED IN	ROOT	20228245
ROOT	AFFECTS	ELECTRICAL RESISTANCE	20363862
ROOT	RELATED TO	ROOT MORPHOLOGY	20363862
ROOT	PROMOTES	CONTACT SURFACE AREA	20363862
